ChurnKey;CustomerKey;DateKey;LocalisationKey;ServiceKey;CustomerID;Gender;Age;MaritalStatus;City;State;MonthlyCharge;Contrat;PaymentMethod;Satisfaction_score;ChurValue;CustomerStatus;ChurnScore;ChurnCategory;CLTV;PhoneService;MultipleLines;InternetService;InternetType;StreamingTV;StreamingMovies;StreamingMusic;OnlineSecurity;DeviceProtection;SubscriptionDate;SubsciptionMonths;SubscriptionQuarter;ChurnDate
37;37;1219;252;4334;0058-EVZWM;Female;37;Yes;Stockton;California;89,800003051757813;Month-to-Month;Bank Withdrawal;3;0;Stayed;42;;5875;1;1;1;Fiber Optic;1;0;0;1;0;2020-04-30;4;Q2;
38;38;1247;849;5729;0060-FUALY;Female;60;Yes;Los Angeles;California;94,75;Month-to-Month;Bank Withdrawal;3;0;Stayed;26;;5238;1;1;1;Fiber Optic;1;0;0;1;0;2020-05-28;5;Q2;
39;39;1139;286;6818;0064-SUDOG;Female;48;Yes;Huntington Park;California;20,299999237060547;Two Year;Bank Withdrawal;5;0;Stayed;57;;5190;1;0;0;None;0;0;0;0;0;2020-02-10;2;Q1;
40;40;1113;433;4972;0064-YIJGF;Male;60;Yes;Yermo;California;75,75;Month-to-Month;Bank Withdrawal;3;0;Stayed;46;;4994;1;1;1;Fiber Optic;0;0;0;0;0;2020-01-15;1;Q1;
41;41;1238;34;44;0067-DKWBL;Male;69;No;San Diego;California;49,25;Month-to-Month;Bank Withdrawal;2;1;Churned;95;Competitor;3475;1;0;1;DSL;0;0;0;1;0;2020-05-19;5;Q2;2020-07-23
42;42;1225;47;6328;0068-FIGTF;Female;20;No;Fremont;California;78,199996948242188;One Year;Credit Card;3;0;Stayed;54;;2297;1;0;1;DSL;1;1;1;0;1;2020-05-06;5;Q2;
43;43;1270;1087;6499;0071-NDAFP;Male;31;Yes;Santa Rosa;California;25,5;Two Year;Credit Card;3;0;Stayed;65;;5230;1;1;0;None;0;0;0;0;0;2020-06-20;6;Q2;
44;44;1227;146;3257;0074-HDKDG;Male;46;Yes;San Jose;California;61,599998474121094;One Year;Bank Withdrawal;3;0;Stayed;66;;3807;1;0;1;Cable;0;0;0;1;1;2020-05-08;5;Q2;
45;45;1187;869;6881;0076-LVEPS;Male;57;No;Tujunga;California;45;Month-to-Month;Credit Card;4;0;Stayed;73;;3290;0;0;1;DSL;0;0;0;1;1;2020-03-29;3;Q1;
46;46;1173;666;2982;0078-XZMHT;Male;19;Yes;Visalia;California;85,150001525878906;Two Year;Bank Withdrawal;3;0;Stayed;76;;6322;1;1;1;DSL;1;1;1;0;1;2020-03-15;3;Q1;
47;47;1184;952;6457;0080-EMYVY;Female;64;No;Lodi;California;51,450000762939453;One Year;Credit Card;3;0;Stayed;57;;4298;1;0;1;Cable;0;0;0;0;0;2020-03-26;3;Q1;
48;48;1219;808;3295;0080-OROZO;Female;38;No;El Portal;California;99,25;One Year;Bank Withdrawal;3;0;Stayed;36;;3244;1;0;1;Fiber Optic;1;1;1;0;1;2020-04-30;4;Q2;
49;49;1317;1186;6317;0082-LDZUE;Male;54;No;Calistoga;California;44,299999237060547;Month-to-Month;Credit Card;5;0;Joined;57;;4427;1;0;1;DSL;0;0;0;0;0;2020-08-06;8;Q3;
50;50;1260;479;5415;0082-OQIQY;Male;50;No;Farmington;California;94,199996948242188;Month-to-Month;Bank Withdrawal;5;0;Stayed;60;;4561;1;0;1;Fiber Optic;1;1;1;0;0;2020-06-10;6;Q2;
51;51;1202;1616;6759;0083-PIVIK;Male;25;No;Tulelake;California;81,25;One Year;Bank Withdrawal;3;0;Stayed;67;;4761;1;1;1;DSL;1;0;0;1;1;2020-04-13;4;Q2;
52;52;1201;1609;5709;0089-IIQKO;Female;35;Yes;Coleville;California;99,949996948242188;Month-to-Month;Credit Card;3;0;Stayed;43;;4447;1;1;1;Fiber Optic;1;1;1;0;0;2020-04-12;4;Q2;
53;53;1125;555;694;0093-EXYQL;Female;72;No;Ojai;California;91,550003051757813;Two Year;Bank Withdrawal;3;0;Stayed;59;;5742;1;0;1;Fiber Optic;1;1;0;0;0;2020-01-27;1;Q1;
54;54;1243;207;2529;0093-XWZFY;Male;51;No;Desert Hot Springs;California;104,5;Month-to-Month;Credit Card;1;1;Churned;93;Competitor;2832;1;1;1;Fiber Optic;1;1;1;0;1;2020-05-24;5;Q2;2020-07-15
55;55;1257;11;11;0094-OIFMO;Female;78;No;North Hollywood;California;95;Month-to-Month;Bank Withdrawal;1;1;Churned;85;Dissatisfaction;5980;1;0;1;Fiber Optic;1;1;0;0;0;2020-06-07;6;Q2;2020-08-30
56;56;1132;1072;5340;0096-BXERS;Female;30;Yes;Inverness;California;50,349998474121094;Month-to-Month;Bank Withdrawal;3;0;Stayed;74;;3442;1;1;1;Cable;0;0;0;0;0;2020-02-03;2;Q1;
57;57;1137;1086;3331;0096-FCPUF;Male;58;No;Santa Rosa;California;64,5;Month-to-Month;Mailed Check;3;0;Stayed;48;;5039;1;1;1;DSL;0;1;1;1;0;2020-02-08;2;Q1;
58;58;1249;1079;3260;0098-BOWSO;Male;26;No;San Jose;California;19,399999618530273;Month-to-Month;Bank Withdrawal;5;0;Stayed;39;;3792;1;0;0;None;0;0;0;0;0;2020-05-30;5;Q2;
59;59;1163;629;794;0100-DUVFC;Male;66;Yes;Wilmington;California;104,80000305175781;One Year;Bank Withdrawal;5;0;Stayed;57;;5291;1;1;1;Fiber Optic;1;1;0;0;1;2020-03-05;3;Q1;
60;60;1202;812;5450;0103-CSITQ;Female;20;Yes;Modesto;California;109,40000152587891;One Year;Bank Withdrawal;5;0;Stayed;65;;6026;1;1;1;Fiber Optic;1;1;1;0;1;2020-04-13;4;Q2;
61;61;1252;1148;2768;0104-PPXDV;Male;61;Yes;San Diego;California;50,299999237060547;One Year;Credit Card;5;0;Stayed;30;;5232;1;0;1;DSL;0;0;0;0;1;2020-06-02;6;Q2;
62;62;1117;1345;3649;0106-GHRQR;Male;24;No;Rancho Palos Verdes;California;71,400001525878906;Month-to-Month;Bank Withdrawal;5;0;Stayed;39;;3360;1;1;1;DSL;0;1;1;0;1;2020-01-19;1;Q1;
63;63;1279;1536;4418;0106-UGRDO;Female;55;Yes;Kenwood;California;116;Two Year;Bank Withdrawal;3;0;Stayed;37;;4216;1;1;1;Fiber Optic;1;1;1;1;1;2020-06-29;6;Q2;
64;64;1152;954;1371;0107-WESLM;Male;32;No;West Point;California;19,850000381469727;Month-to-Month;Bank Withdrawal;2;1;Churned;66;Attitude;3874;1;0;0;None;0;0;0;0;0;2020-02-23;2;Q1;2020-08-14
65;65;1139;394;1483;0107-YHINA;Male;59;No;Los Angeles;California;99,75;Month-to-Month;Bank Withdrawal;1;1;Churned;93;Competitor;4214;1;1;1;Fiber Optic;1;1;1;0;1;2020-02-10;2;Q1;2020-09-07
66;66;1142;423;519;0111-KLBQG;Male;71;Yes;Morongo Valley;California;93,949996948242188;One Year;Mailed Check;5;0;Stayed;62;;2844;1;0;1;Fiber Optic;1;1;1;0;0;2020-02-13;2;Q1;
67;67;1139;424;5991;0112-QAWRZ;Male;49;Yes;Palo Verde;California;90,800003051757813;Month-to-Month;Bank Withdrawal;3;0;Stayed;66;;5560;1;1;1;Fiber Optic;1;0;0;0;1;2020-02-10;2;Q1;
68;68;1244;1178;1950;0112-QWPNC;Male;61;Yes;Valyermo;California;84,349998474121094;One Year;Bank Withdrawal;2;1;Churned;73;Competitor;6452;1;1;1;Cable;1;1;1;1;1;2020-05-25;5;Q2;2020-08-28
69;69;1222;668;2997;0114-IGABW;Female;40;Yes;Cambria;California;58,25;Two Year;Bank Withdrawal;5;0;Stayed;76;;5224;0;0;1;Cable;1;1;1;0;1;2020-05-03;5;Q2;
70;70;1236;88;5696;0114-PEGZZ;Female;39;No;Round Mountain;California;107,55000305175781;Month-to-Month;Bank Withdrawal;3;0;Stayed;33;;4800;1;1;1;Fiber Optic;1;1;1;0;1;2020-05-17;5;Q2;
71;71;1270;706;3380;0114-RSRRW;Female;21;Yes;Klamath;California;19,950000762939453;Month-to-Month;Bank Withdrawal;4;0;Stayed;54;;3831;1;0;0;None;0;0;0;0;0;2020-06-20;6;Q2;
72;72;1212;908;1299;0115-TFERT;Male;24;Yes;Fresno;California;111,19999694824219;Month-to-Month;Bank Withdrawal;3;1;Churned;89;Attitude;4123;1;1;1;Fiber Optic;1;1;1;0;1;2020-04-23;4;Q2;2020-09-01
73;73;1279;1274;2309;0117-LFRMW;Male;52;Yes;Angwin;California;40,200000762939453;Month-to-Month;Bank Withdrawal;2;1;Churned;80;Competitor;3627;0;0;1;DSL;0;0;0;1;1;2020-06-29;6;Q2;2020-09-12
74;74;1145;810;1064;0118-JPNOY;Female;71;No;Le Grand;California;85,800003051757813;Month-to-Month;Credit Card;3;0;Stayed;46;;5700;1;0;1;Fiber Optic;1;0;0;1;0;2020-02-16;2;Q1;
75;75;1227;707;3388;0121-SNYRK;Male;45;No;Redway;California;35,400001525878906;One Year;Credit Card;3;0;Stayed;36;;5052;0;0;1;DSL;0;0;0;1;0;2020-05-08;5;Q2;
76;76;1243;18;1204;0122-OAHPZ;Female;29;No;San Diego;California;73,849998474121094;Month-to-Month;Bank Withdrawal;3;1;Churned;67;Competitor;2473;1;1;1;Fiber Optic;0;0;1;0;0;2020-05-24;5;Q2;2020-07-16
77;77;1268;533;2715;0123-CRBRT;Female;62;Yes;Monterey Park;California;88,099998474121094;Two Year;Mailed Check;4;0;Stayed;40;;5152;1;1;1;DSL;1;1;1;1;1;2020-06-18;6;Q2;
78;78;1170;806;1373;0125-LZQXK;Male;42;No;Big Oak Flat;California;101,34999847412109;Month-to-Month;Bank Withdrawal;2;1;Churned;91;Attitude;3025;1;0;1;Fiber Optic;1;1;1;0;1;2020-03-12;3;Q1;2020-09-07
79;79;1201;194;5869;0128-MKWSG;Female;51;No;Stevenson Ranch;California;45,799999237060547;Month-to-Month;Credit Card;4;0;Stayed;45;;3287;0;0;1;DSL;0;1;1;1;0;2020-04-12;4;Q2;
80;80;1240;1564;5565;0129-KPTWJ;Male;39;Yes;North Highlands;California;94,650001525878906;Month-to-Month;Bank Withdrawal;3;0;Stayed;20;;5943;1;0;1;Fiber Optic;1;1;1;0;1;2020-05-21;5;Q2;
81;81;1234;14;3760;0129-QMPDR;Male;64;Yes;La Puente;California;20,5;One Year;Bank Withdrawal;3;0;Stayed;59;;3093;1;0;0;None;0;0;0;0;0;2020-05-15;5;Q2;
82;82;1266;489;6515;0130-SXOUN;Male;55;No;Glenhaven;California;89,400001525878906;Month-to-Month;Credit Card;3;0;Stayed;49;;4889;1;1;1;Fiber Optic;0;1;1;0;0;2020-06-16;6;Q2;
83;83;1272;877;1849;0133-BMFZO;Female;40;No;Alhambra;California;86,25;Month-to-Month;Bank Withdrawal;2;1;Churned;94;Competitor;3529;1;0;1;Fiber Optic;0;0;0;1;0;2020-06-22;6;Q2;2020-09-27
84;84;1207;522;650;0134-XWXCE;Female;76;No;Santa Monica;California;74,849998474121094;One Year;Bank Withdrawal;5;0;Stayed;71;;3253;1;0;1;DSL;1;1;1;0;1;2020-04-18;4;Q2;
85;85;1207;952;1369;0135-NMXAP;Female;57;No;Lodi;California;89,75;Month-to-Month;Bank Withdrawal;3;1;Churned;90;Attitude;5671;1;1;1;Fiber Optic;1;0;0;0;0;2020-04-18;4;Q2;2020-08-09
86;86;1136;281;781;0136-IFMYD;Male;71;Yes;Los Angeles;California;109,94999694824219;Two Year;Bank Withdrawal;5;0;Stayed;63;;4297;1;1;1;Fiber Optic;1;1;0;0;1;2020-02-07;2;Q1;
87;87;1229;240;1655;0137-OCGAB;Female;25;No;Fairfield;California;80,199996948242188;Month-to-Month;Mailed Check;3;1;Churned;90;Price;3056;1;1;1;Fiber Optic;0;0;0;0;0;2020-05-10;5;Q2;2020-09-13
88;88;1235;803;2012;0137-UDEUO;Female;24;No;Stockton;California;19,850000381469727;Month-to-Month;Credit Card;1;1;Churned;95;Price;3398;1;0;0;None;0;0;0;0;0;2020-05-16;5;Q2;2020-09-17
89;89;1289;33;3022;0139-IVFJG;Female;19;Yes;Temecula;California;90,349998474121094;Month-to-Month;Bank Withdrawal;3;0;Joined;29;;5361;1;0;1;Fiber Optic;1;0;0;1;0;2020-07-09;7;Q3;
90;90;1123;85;713;0141-YEAYS;Female;77;No;Fallbrook;California;86,449996948242188;Two Year;Bank Withdrawal;4;0;Stayed;77;;5990;1;1;1;Fiber Optic;0;0;0;0;1;2020-01-25;1;Q1;
91;91;1173;671;4093;0142-GVYSN;Male;57;No;Randsburg;California;20,299999237060547;Month-to-Month;Bank Withdrawal;5;0;Stayed;68;;5712;1;0;0;None;0;0;0;0;0;2020-03-15;3;Q1;
92;92;1208;773;1009;0147-ESWWR;Female;73;Yes;Atascadero;California;101,25;Month-to-Month;Bank Withdrawal;4;0;Stayed;77;;3172;1;1;1;Fiber Optic;1;1;1;0;0;2020-04-19;4;Q2;
93;93;1223;1084;1708;0148-DCDOS;Male;41;No;Planada;California;94,699996948242188;Month-to-Month;Bank Withdrawal;1;1;Churned;82;Competitor;5641;1;1;1;Fiber Optic;1;1;1;0;0;2020-05-04;5;Q2;2020-09-11
94;94;1156;309;1598;0151-ONTOV;Female;43;No;Moorpark;California;70,900001525878906;Month-to-Month;Mailed Check;1;1;Churned;78;Competitor;4739;1;0;1;Fiber Optic;0;0;0;0;0;2020-02-27;2;Q1;2020-08-06
95;95;1263;1265;2271;0156-FVPTA;Male;48;Yes;Solvang;California;54,200000762939453;Month-to-Month;Bank Withdrawal;2;1;Churned;87;Attitude;5102;1;0;1;DSL;0;0;0;1;0;2020-06-13;6;Q2;2020-09-05
96;96;1234;1186;4211;0164-APGRB;Female;56;No;Calistoga;California;114,90000152587891;Two Year;Bank Withdrawal;4;0;Stayed;69;;4589;1;1;1;Fiber Optic;1;1;1;1;1;2020-05-15;5;Q2;
97;97;1248;523;6850;0164-XAIRP;Female;51;No;La Mirada;California;19,549999237060547;Two Year;Bank Withdrawal;5;0;Stayed;34;;2511;1;0;0;None;0;0;0;0;0;2020-05-29;5;Q2;
98;98;1143;229;6192;0168-XZKBB;Female;34;Yes;Boron;California;86,849998474121094;Month-to-Month;Bank Withdrawal;5;0;Stayed;64;;5072;1;1;1;Fiber Optic;1;0;0;0;0;2020-02-14;2;Q1;
99;99;1266;384;4886;0174-QRVVY;Male;21;Yes;San Marcos;California;25,350000381469727;Two Year;Credit Card;5;0;Stayed;68;;5747;1;1;0;None;0;0;0;0;0;2020-06-16;6;Q2;
100;100;1274;105;517;0177-PXBAT;Male;78;Yes;Desert Center;California;109,90000152587891;One Year;Bank Withdrawal;3;0;Stayed;59;;5655;1;1;1;Fiber Optic;1;1;0;1;1;2020-06-24;6;Q2;
101;101;1360;254;6472;0178-CIIKR;Female;60;No;Crows Landing;California;19,950000762939453;Month-to-Month;Credit Card;3;0;Joined;74;;5949;1;0;0;None;0;0;0;0;0;2020-09-18;9;Q3;
102;102;1108;1288;3324;0178-SZBHO;Male;54;Yes;Tuolumne;California;87,199996948242188;Month-to-Month;Bank Withdrawal;3;0;Stayed;76;;3760;1;1;1;Fiber Optic;1;0;0;0;0;2020-01-10;1;Q1;
103;103;1112;1150;3827;0181-RITDD;Male;42;Yes;San Diego;California;108,15000152587891;Two Year;Credit Card;4;0;Stayed;43;;5298;1;0;1;Fiber Optic;1;1;1;1;1;2020-01-14;1;Q1;
104;104;1201;1558;6570;0186-CAERR;Male;22;No;Auburn;California;116,30000305175781;One Year;Bank Withdrawal;4;0;Stayed;59;;4644;1;1;1;Fiber Optic;1;1;1;1;1;2020-04-12;4;Q2;
105;105;1256;676;861;0187-QSXOE;Male;71;Yes;Fresno;California;89;Two Year;Bank Withdrawal;4;0;Stayed;36;;5711;1;0;1;Fiber Optic;1;1;1;0;0;2020-06-06;6;Q2;
106;106;1117;783;4103;0187-WZNAB;Female;56;Yes;Del Rey;California;74,400001525878906;Month-to-Month;Credit Card;3;0;Stayed;57;;4331;1;0;1;Fiber Optic;0;0;0;1;0;2020-01-19;1;Q1;
107;107;1335;1476;4171;0188-GWFLE;Male;33;No;Redwood City;California;20,049999237060547;Month-to-Month;Credit Card;3;0;Joined;59;;4978;1;0;0;None;0;0;0;0;0;2020-08-24;8;Q3;
108;108;1249;1388;4939;0191-EQUUH;Female;32;No;Landers;California;35,049999237060547;Two Year;Bank Withdrawal;4;0;Stayed;69;;2754;0;0;1;Cable;0;0;0;1;0;2020-05-30;5;Q2;
109;109;1196;399;486;0191-ZHSKZ;Male;80;No;Hawthorne;California;74,75;One Year;Bank Withdrawal;4;0;Stayed;55;;3033;1;0;1;DSL;1;1;0;1;0;2020-04-07;4;Q2;
110;110;1250;316;377;0193-ESZXP;Female;73;Yes;Oceano;California;105,5;One Year;Credit Card;1;1;Churned;91;Attitude;5067;1;0;1;Fiber Optic;1;1;1;1;0;2020-05-31;5;Q2;2020-09-10
111;111;1272;661;1260;0195-IESCP;Male;26;Yes;Armona;California;85,25;Month-to-Month;Bank Withdrawal;3;1;Churned;75;Competitor;3573;1;1;1;Fiber Optic;0;1;1;0;0;2020-06-22;6;Q2;2020-09-05
112;112;1122;1213;3403;0196-JTUQI;Female;59;No;Clarksburg;California;75,199996948242188;Month-to-Month;Credit Card;5;0;Stayed;68;;5841;1;1;1;Fiber Optic;0;0;0;0;0;2020-01-24;1;Q1;
113;113;1127;219;364;0196-VULGZ;Female;78;Yes;Irvine;California;84,349998474121094;Month-to-Month;Bank Withdrawal;3;1;Churned;77;Other;5721;1;1;1;Fiber Optic;0;1;0;0;0;2020-01-29;1;Q1;2020-09-08
114;114;1151;694;4306;0197-PNKNK;Female;47;Yes;Scotts Valley;California;84,449996948242188;One Year;Bank Withdrawal;3;0;Stayed;49;;5629;1;1;1;Fiber Optic;0;0;0;1;1;2020-02-22;2;Q1;
115;115;1166;815;1071;0201-MIBOL;Female;68;No;Salida;California;102,40000152587891;Two Year;Bank Withdrawal;3;0;Stayed;69;;4861;1;1;1;Fiber Optic;1;1;1;1;0;2020-03-08;3;Q1;
116;116;1108;967;1400;0201-OAMXR;Female;30;No;Mckinleyville;California;115,55000305175781;One Year;Credit Card;1;1;Churned;87;Dissatisfaction;4838;1;1;1;Fiber Optic;1;1;1;1;1;2020-01-10;1;Q1;2020-09-29
117;117;1176;236;1643;0203-HHYIJ;Male;62;No;Atherton;California;25,299999237060547;One Year;Bank Withdrawal;3;1;Churned;79;Price;3779;1;1;0;None;0;0;0;0;0;2020-03-18;3;Q1;2020-07-10
118;118;1192;1410;5012;0206-OYVOC;Female;52;Yes;Huntington Beach;California;19,25;Two Year;Credit Card;5;0;Stayed;77;;5596;1;0;0;None;0;0;0;0;0;2020-04-03;4;Q2;
119;119;1235;1156;2821;0206-TBWLC;Female;63;Yes;Calimesa;California;114,65000152587891;One Year;Credit Card;4;0;Stayed;67;;4488;1;1;1;Fiber Optic;1;1;1;1;1;2020-05-16;5;Q2;
120;120;1215;233;1313;0207-MDKNV;Female;54;No;Daly City;California;105,09999847412109;Month-to-Month;Bank Withdrawal;1;1;Churned;84;Competitor;2122;1;0;1;Fiber Optic;1;1;1;1;1;2020-04-26;4;Q2;2020-07-22
